google_place_id,name,address,city,rating,website,google_maps_url,types,imported_at
ChIJv_p5b1Ihe0gR9p_HMPzTkTA,Hawksmoor Liverpool,"8 Brunswick St, Liverpool L2 0PL",Liverpool,4.7,https://thehawksmoor.com/,https://maps.google.com/?cid=3499811465547194358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant|steak_house|seafood_restaurant|british_restaurant|european_restaurant|food|point_of_interest|establishment,2026-09-08 16:46:43.411071+00
ChIJTzNPIDMhe0gRV32ZtEYPO28,Panoramic 34,"34th Floor, West Tower, Brook St, Liverpool L3 9PJ",Liverpool,4.5,https://www.panoramic34.com/,https://maps.google.com/?cid=8015016758188014935&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cocktail_bar|bar|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:43.411071+00
ChIJ80exAC4he0gRcaAZQbJkdXQ,"Riva Blu Italian Restaurant & Bar, Liverpool","1 Castle St, Liverpool L2 4SW",Liverpool,4.4,https://rivablu.co.uk/liverpool/,https://maps.google.com/?cid=8391724197433942129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,italian_restaurant|bar|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:43.411071+00
ChIJUxUIV7Uhe0gRy-lrOduhNmI,Smoke & Dough,"14 Paradise Street, Leisure Terrace, Liverpool One, Liverpool L1 8JF",Liverpool,4.4,https://smokeanddough.co.uk/,https://maps.google.com/?cid=7077021827392596427&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,barbecue_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:43.411071+00
ChIJqUs0XUohe0gRt26e46j6iTs,The Ivy Liverpool Brasserie,"31 Castle St, Liverpool L2 4TA",Liverpool,4.3,https://ivycollection.com/restaurants-near-me/the-ivy-north-west/the-ivy-liverpool-brasserie/?utm_source=LocalGoogle&utm_medium=Organic,https://maps.google.com/?cid=4290235723327368887&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,british_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:43.411071+00
ChIJ1xHleh8he0gRObbU1GFafi8,The Quarter,"7 Falkner St, Liverpool L8 7PU",Liverpool,4.5,http://www.thequarteruk.com/,https://maps.google.com/?cid=3422272143077193273&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,mediterranean_restaurant|breakfast_restaurant|bar|deli|italian_restaurant|food_store|european_restaurant|store|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:43.411071+00
ChIJHefwryUhe0gRjNWFAriQp64,Villa Romana - Italian Restaurant Liverpool,"Villa Romana, Wood St, Liverpool L1 4DQ",Liverpool,4.5,https://www.villaromanaliverpool.co.uk/,https://maps.google.com/?cid=12585186803700848012&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,italian_restaurant|family_restaurant|pizza_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:43.411071+00
ChIJyeTsrLoFdkgRdsewS8ne0fQ,Blacklock Covent Garden,"16a Bedford St, London WC2E 9HE",London,4.7,https://theblacklock.com/coventgarden-reservations/?utm_source=GMB&utm_medium=website+click&utm_campaign=SDM&utm_id=GMB,https://maps.google.com/?cid=17641126171526612854&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,steak_house|cocktail_bar|bar|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:40.435562+00
ChIJtZpbttMEdkgRl7-te2KdeSg,Evelyn's Table,"The Blue Posts, Cellar, 28 Rupert St, London W1D 6DJ",London,4.9,http://theblueposts.co.uk/evelyns-table/,https://maps.google.com/?cid=2916535280006446999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,fine_dining_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:40.435562+00
ChIJSWN4ldUEdkgRGqo3OSnf1CY,Fallow,"52 Haymarket, London SW1Y 4RP",London,4.7,http://www.fallowrestaurant.com/,https://maps.google.com/?cid=2798106636650523162&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,british_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:40.435562+00
